01, 71091193707, 20221010030937, 20221010040605
01, 70855935475, 20220511102400, 20220511105558
02, 79586782683, 20221105115831, 20221105123819
02, 70401213111, 20220525221339, 20220525225758
01, 72858389024, 20220613004612, 20220613072550
02, 70855935475, 20220926032628, 20220926035357
01, 71372788518, 20220125225110, 20220125233817
02, 71466861718, 20221005033551, 20221005040109
02, 76607845787, 20220529042453, 20220529044821
01, 77665675836, 20220626075408, 20220626081017
02, 79776135488, 20221027042453, 20221027051111
01, 72640752503, 20221021023032, 20221021025601
02, 70855935475, 20220224080501, 20220224084819
01, 70401213111, 20221019014116, 20221019014816
02, 75879669633, 20220617185801, 20220617191122
02, 71561121429, 20220503221008, 20220503230848
01, 79776135488, 20220918184025, 20220918184845
01, 72858389024, 20221228054832, 20221228055920
02, 73141665123, 20220509093159, 20220509160751
02, 70855935475, 20220314111116, 20220314120051
02, 70401213111, 20220824021137, 20220824022023
01, 73822596288, 20220730064003, 20220730073326
02, 79776135488, 20221003225715, 20221003232136
01, 72640752503, 20220703180829, 20220703185037
02, 77347007725, 20220506091721, 20220506092034
02, 70612133930, 20220917082043, 20220917085936
02, 79722730439, 20221223003514, 20221223012001
01, 75349827452, 20221008023328, 20221008024113
01, 78934245574, 20220624211414, 20220624213439
01, 70401213111, 20220204211541, 20220204211750
01, 71091193707, 20221030002532, 20221030003152
01, 79776135488, 20220411110228, 20220411115048
02, 79776135488, 20220713102223, 20220713105755
01, 72211363060, 20221218063925, 20221218064028
02, 71615594332, 20220527024012, 20220527024102
01, 79776135488, 20220911064914, 20220911074144
01, 70055612615, 20220717111802, 20220717112514
01, 70024228547, 20220829103859, 20220829104136
01, 72640752503, 20220216090356, 20220216094732
01, 71372788518, 20220310044013, 20220310044626
02, 70401213111, 20221201163531, 20221201164147
01, 70612133930, 20220117014442, 20220117020810
02, 72640752503, 20220513163541, 20220513165517
02, 79776135488, 20220827204207, 20220827204428
02, 72640752503, 20221007023338, 20221007024758
02, 76138789757, 20220220185025, 20220220191129
01, 71372788518, 20220418075726, 20220418083824
01, 70855935475, 20220507011011, 20220507015856
02, 79776135488, 20220216090946, 20220216094435
01, 77809630984, 20220328204100, 20220328210139
